"","sex","birth","marriage","religion","income","code_job","code_region"
"523",2,1993,5,1,120,422,1
"524",2,2000,0,1,NA,NA,1
"525",1,1970,1,1,280,873,1
"526",2,1971,1,1,193,930,1
"527",2,2001,0,1,NA,NA,1
"528",2,2003,0,1,NA,NA,1
"529",2,1944,3,1,17,941,1
"530",2,1950,3,1,80.4,930,1
"531",1,1971,2,2,138,149,1
"532",1,1997,0,2,NA,NA,1
"533",1,1932,1,1,NA,NA,1
"534",2,1936,1,1,NA,NA,1
"535",1,1957,1,2,NA,442,1
"536",2,1958,1,1,NA,441,1
"537",2,1979,1,2,NA,NA,2
"538",1,1983,5,2,NA,442,1
"539",1,1975,1,2,311,246,2
"540",2,2009,0,2,NA,NA,2
"541",1,2012,0,2,NA,NA,2
"542",1,1962,1,2,250,891,1
"543",2,1964,1,2,98.33,721,1
"544",1,1990,5,2,NA,NA,1
"545",1,1952,1,2,NA,442,1
"546",2,1957,1,2,NA,442,1
"547",1,1981,5,2,506.66,246,1
"548",2,1984,5,2,254.16,320,1
"549",1,1952,3,2,NA,NA,1
"550",1,1929,2,2,NA,NA,1
"551",2,1931,2,2,NA,NA,1
"552",2,1960,5,2,NA,NA,1
"553",1,1936,1,2,NA,NA,1
"554",2,1936,1,2,NA,NA,1
"555",1,1960,5,2,NA,NA,1
"556",1,1966,1,2,NA,823,1
"557",2,1966,1,1,NA,999,1
"558",2,2004,0,1,NA,NA,1
"559",2,2004,0,1,NA,NA,1
"560",1,1938,1,1,NA,NA,1
"561",2,1939,1,1,NA,NA,1
"562",1,1960,1,2,NA,875,1
"563",2,1962,1,2,110,521,1
"564",2,1987,5,2,318.33,320,1
"565",1,1961,1,1,NA,159,1
"566",2,1968,1,1,NA,NA,1
"567",1,1998,0,1,NA,NA,1
"568",2,1999,0,1,NA,NA,1
"569",1,1964,1,1,230,248,1
"570",2,1975,1,1,150,442,1
"571",2,1997,0,1,NA,NA,1
"572",1,1999,0,1,NA,NA,1
"573",2,1942,3,1,NA,NA,1
"574",1,1936,1,1,NA,NA,1
"575",2,1939,1,1,NA,NA,1
"576",2,2008,0,1,NA,NA,1
